Exception_ID,Trade_ID,Exception_Type,Severity,Priority,Status,Owner,Created_Date,Last_Updated,Resolution_Time_Hours,Root_Cause,Escalated
EX00001,TRD100655,Booking Error,Low,P3,Open,Ankit,6/20/2026,6/21/2026,,Incorrect Trade Date,No
EX00002,TRD100115,FX Rate Mismatch,Medium,P2,Open,Neha,5/12/2026,5/14/2026,,Manual Error,No
EX00003,TRD100026,Cash Break,High,P1,Resolved,Priya,3/11/2026,3/12/2026,2,System Issue,No
EX00004,TRD100760,Confirmation Mismatch,High,P1,Resolved,Sneha,5/23/2026,5/24/2026,24,Trade Amendment,No
EX00005,TRD100282,SSI Missing,Medium,P2,In Progress,Riya,2/12/2026,2/15/2026,,Trade Amendment,No
EX00006,TRD100251,Trade Capture Error,High,P1,Resolved,Sneha,5/9/2026,5/11/2026,8,Incorrect Trade Date,No
EX00007,TRD100229,SSI Missing,Low,P3,In Progress,Ankit,2/23/2026,2/26/2026,,Trade Amendment,No
EX00008,TRD100143,SSI Missing,Low,P3,In Progress,Arjun,6/12/2026,6/13/2026,,Holiday Calendar,No
EX00009,TRD100755,SSI Missing,Low,P3,In Progress,Sneha,2/19/2026,2/21/2026,,Holiday Calendar,No
EX00010,TRD100105,FX Rate Mismatch,Low,P3,In Progress,Arjun,2/15/2026,2/16/2026,,System Issue,No
EX00011,TRD100693,Trade Capture Error,Low,P3,In Progress,Riya,6/11/2026,6/12/2026,,Incorrect Trade Date,No
EX00012,TRD100759,Position Break,Medium,P2,Resolved,Arjun,1/17/2026,1/22/2026,8,Manual Error,No
EX00013,TRD100914,Booking Error,High,P1,In Progress,Rahul,3/23/2026,3/26/2026,,SSI Missing,No
EX00014,TRD100559,Broker Mismatch,Medium,P2,Resolved,Sneha,1/24/2026,1/29/2026,12,Holiday Calendar,No
EX00015,TRD100090,Settlement Failure,Low,P3,Resolved,Ankit,6/25/2026,6/29/2026,36,Incorrect Trade Date,No
EX00016,TRD100605,Cash Break,Medium,P2,In Progress,Sneha,5/10/2026,5/13/2026,,System Issue,No
EX00017,TRD100433,Booking Error,Medium,P2,Open,Priya,6/19/2026,6/20/2026,,Price Difference,No
EX00018,TRD100033,SSI Missing,Medium,P2,In Progress,Neha,6/7/2026,6/10/2026,,Holiday Calendar,No
EX00019,TRD100031,Late Confirmation,Medium,P2,Resolved,Arjun,1/23/2026,1/27/2026,4,Broker Error,No
EX00020,TRD100096,SSI Missing,Medium,P2,Open,Sneha,1/28/2026,1/29/2026,,System Issue,No
EX00021,TRD100224,Trade Capture Error,Medium,P2,Open,Neha,2/15/2026,2/15/2026,,Price Difference,No
EX00022,TRD100239,Late Confirmation,Low,P3,Resolved,Sneha,5/27/2026,5/31/2026,4,Broker Error,No
EX00023,TRD100518,Position Break,Medium,P2,Open,Karan,6/27/2026,6/29/2026,,Holiday Calendar,No
EX00024,TRD100617,Position Break,Medium,P2,Open,Ankit,1/30/2026,1/30/2026,,Trade Amendment,No
EX00025,TRD100028,Broker Mismatch,Low,P3,Open,Ankit,5/31/2026,5/31/2026,,SSI Missing,No
EX00026,TRD100575,Broker Mismatch,Medium,P2,In Progress,Arjun,3/23/2026,3/26/2026,,Broker Error,No
EX00027,TRD100204,Broker Mismatch,Medium,P2,Open,Karan,1/23/2026,1/24/2026,,Trade Amendment,No
EX00028,TRD100734,Booking Error,Low,P3,Resolved,Karan,2/13/2026,2/15/2026,48,Price Difference,No
